evidence_id,target_id,evidence_type,evidence_url,issuer,notes,identity_scope
shmeea-2021-sh-level-chemistry-analysis,2021-sh-level-chemistry,official_analysis,https://www.shmeea.edu.cn/page/02100/20210610/15338.html,上海市教育考试院,官方页面标题为“命题专家谈2021年等级考出题思路”；正文明确2021年上海市普通高中学业水平等级性考试并说明化学科目命题；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2021-sh-level-politics-analysis,2021-sh-level-politics,official_analysis,https://www.shmeea.edu.cn/page/02100/20210610/15338.html,上海市教育考试院,官方页面标题为“命题专家谈2021年等级考出题思路”；正文明确2021年上海市普通高中学业水平等级性考试并说明政治科目命题；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2021-sh-level-history-analysis,2021-sh-level-history,official_analysis,https://www.shmeea.edu.cn/page/02100/20210610/15338.html,上海市教育考试院,官方页面标题为“命题专家谈2021年等级考出题思路”；正文明确2021年上海市普通高中学业水平等级性考试并说明历史科目命题；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2021-sh-level-geography-analysis,2021-sh-level-geography,official_analysis,https://www.shmeea.edu.cn/page/02100/20210610/15338.html,上海市教育考试院,官方页面标题为“命题专家谈2021年等级考出题思路”；正文明确2021年上海市普通高中学业水平等级性考试并说明地理科目命题；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2021-sh-level-biology-analysis,2021-sh-level-biology,official_analysis,https://www.shmeea.edu.cn/page/02100/20210610/15338.html,上海市教育考试院,官方页面标题为“命题专家谈2021年等级考出题思路”；正文明确2021年上海市普通高中学业水平等级性考试并说明生命科学科目命题；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2022-sh-level-chemistry-analysis,2022-sh-level-chemistry,official_analysis,https://www.shmeea.edu.cn/page/02100/20220618/16395.html,上海市教育考试院,官方页面标题为“专家点评2022年上海市普通高中学业水平等级性考试化学科目试卷”；正文明确考试批次和化学科目；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2022-sh-level-politics-analysis,2022-sh-level-politics,official_analysis,https://www.shmeea.edu.cn/page/02100/20220618/16397.html,上海市教育考试院,官方页面标题为“专家点评2022年上海市普通高中学业水平等级性考试思想政治科目试卷”；正文明确考试批次和思想政治科目；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2022-sh-level-history-analysis,2022-sh-level-history,official_analysis,https://www.shmeea.edu.cn/page/02100/20220619/16402.html,上海市教育考试院,官方页面标题为“专家点评2022年上海市普通高中学业水平等级性考试历史科目试卷”；正文明确考试批次和历史科目；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2022-sh-level-geography-analysis,2022-sh-level-geography,official_analysis,https://www.shmeea.edu.cn/page/02100/20220619/16406.html,上海市教育考试院,官方页面标题为“专家点评2022年上海市普通高中学业水平等级性考试地理科目试卷”；正文明确考试批次和地理科目；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2022-sh-level-biology-analysis,2022-sh-level-biology,official_analysis,https://www.shmeea.edu.cn/page/02100/20220619/16408.html,上海市教育考试院,官方页面标题为“专家点评2022年上海市普通高中学业水平等级性考试生命科学科目试卷”；正文明确考试批次和生命科学科目；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2023-sh-level-physics-analysis,2023-sh-level-physics,official_analysis,https://www.shmeea.edu.cn/page/02100/20230506/17431.html,上海市教育考试院,官方页面标题为“专家点评2023年等级考物理试卷”；正文明确为2023年上海市普通高中学业水平物理等级性考试；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2023-sh-level-chemistry-analysis,2023-sh-level-chemistry,official_analysis,https://www.shmeea.edu.cn/page/02100/20230506/17427.html,上海市教育考试院,官方页面标题为“专家点评2023年等级考化学试卷”；正文明确为2023年上海市普通高中学业水平化学等级性考试；页面未提供原卷文件下载或再发布许可,full_target
shmeea-2023-sh-level-politics-analysis,2023-sh-level-politics,official_analysis,https://www.shmeea.edu.cn/page/02100/20230506/17428.html,上海市教育考试院,官方页面标题为“专家点评2023年等级考思想政治试卷”；正文明确为2023年上海市普通高中学业水平思想政治等级性考试；页面未提供原卷文件下载或再发布许可,full_target
