name,url,scope,source_type,license_status,notes
教习网 2024 上海春考数学候选页,https://www.51jiaoxi.com/doc-15732882.html,2024 上海春考数学原卷版与解析版,website,restricted,页面列出原卷版 PDF 但下载受会员限制；平台不保证用户上传资料的来源和版权归属，仅作外部定位，不复制文件
教育部教育考试院普通高考,https://gaokao.neea.edu.cn/,普通高考政策、考试大纲与试题评析,official,unknown,已核对为教育部教育考试院普通高考官方栏目；未作为历年原卷统一下载库，官方页面仅作为身份佐证或具体公告来源使用
shaodongtang/gaokao_exam,https://github.com/shaodongtang/gaokao_exam,高考试卷 LaTeX 模板,github,unknown,模板项目，不代表试卷资料已获再发布授权
ajsadhotmail/2024-China-Gaokao-Math,https://github.com/ajsadhotmail/2024-China-Gaokao-Math,2024 新高考 I 卷数学,github,unknown,单年份单科目项目，待核验文件授权和完整性
fihyer/NCEE,https://github.com/fihyer/NCEE,历年高考数学试卷,github,unknown,范围和文件状态待人工核验
xihong-m/gaokao-math,https://github.com/xihong-m/gaokao-math,新高考以来数学真题,github,unknown,范围和文件状态待人工核验
deekur/gaokaomath,https://github.com/deekur/gaokaomath,1952-2026 高考数学真题（本项目同步 2017-2026 普通高考 PDF）,github,permitted,上游仓库声明 CC-BY-4.0；同步文件保留原文件名并在索引中记录原始 URL
deekur/gaokaophysics,https://github.com/deekur/gaokaophysics,1952-2026 高考物理真题（本项目同步 2020-2026 普通高考 PDF）,github,unknown,公开仓库提供 2020-2026 物理 PDF；上游许可证字段未明确，保留来源链接并待人工核验
deekur/gaokao-system,https://github.com/deekur/gaokao-system,历年各省各科用卷范围元数据,github,permitted,上游仓库声明 CC0-1.0；仅将其用卷范围表作为社区线索登记，不是试卷文件来源，不构成官方身份佐证或试卷再发布许可
admin05/gaokaomath-archive,https://github.com/admin05/gaokaomath-archive,高考数学 PDF 存档候选,github,permitted,上游仓库声明 CC-BY-4.0；已逐页复核其 2023 上海春季 PDF：虽首页标为试题但第 4 页起的解析与第 17 题答案自相矛盾（题号答案写 5/4、解析结论为 6/5），未达到正式原卷准确性标准，未复制或登记为主库试卷；2024 文件首页明确为“练习数学试题”，同样未入库；其他文件仍须逐份核验
Zaxaerith/GaokaoCHN,https://github.com/Zaxaerith/GaokaoCHN,2019-2025 高考语文文档候选,github,unknown,公开目录含 DOCX/PDF，但未声明许可证；暂不复制
Zaxaerith/GaokaoENG,https://github.com/Zaxaerith/GaokaoENG,2017-2024 高考英语文档候选,github,unknown,公开目录含 DOC/DOCX，但未声明许可证；暂不复制
Zaxaerith/GaokaoGEO,https://github.com/Zaxaerith/GaokaoGEO,2009-2024 高考地理文档候选,github,unknown,公开目录含 DOC/DOCX/PDF，但未声明许可证；暂不复制
