candidate_source,existing_record_id,candidate_pages,existing_pages,candidate_text_sha256,existing_text_sha256,candidate_text_chars,existing_text_chars,text_similarity,result,replacement_candidate,candidate_error,existing_error
temp/版本2：化学（按省份分类）2008-2024/2008-2023·（江西）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（上海）化学高考真题/2024年高考化学试卷（上海）（空白卷）.pdf,temp-2024-化学-2105e60f8c2e,6,5,5904175440364b4dddc33336c74acafcfa788b31707a90b429f735d2012c1fb1,1973dc25e5b28ab2956e2258036eaab80cc808bbb1e85920c43771638739ee5a,3321,2877,0.821,likely_same_content_layout_difference,no,,
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（内蒙古）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（内蒙古）化学高考真题/2024年高考化学试卷（全国甲卷）（空白卷）.pdf,temp-2024-化学-6fef43dd8802,9,7,a19f4f1c1c75a677545241214bfeb45920b78ee839171e24d245edda2f931eb8,ee7a72190760c75725edba5e1b977fe5bb5a6a7dd417204bd33cfe7b350835d0,4439,3766,0.860,likely_same_content_layout_difference,no,,
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（吉林）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（四川）化学高考真题/2024年高考化学试卷（全国甲卷）（空白卷）.pdf,temp-2024-化学-6fef43dd8802,9,7,a19f4f1c1c75a677545241214bfeb45920b78ee839171e24d245edda2f931eb8,ee7a72190760c75725edba5e1b977fe5bb5a6a7dd417204bd33cfe7b350835d0,4439,3766,0.860,likely_same_content_layout_difference,no,,
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（山东）化学高考真题/2024年高考化学试卷（山东）（空白卷）.pdf,temp-2024-化学-58bafbad7274,9,7,518ec7d1fed4a6ef6130562554ef81034fe429705e0c95ce5099e819e5a1fdc5,0a5fd6f6c7ca8378f142ae878c4ce1323f3dbae8247cc701b91fcf29a6ff671c,5145,4421,0.868,likely_same_content_layout_difference,no,,
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（山西）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（广东）化学高考真题/2022年高考化学试卷（广东）（空白卷）.pdf,temp-2022-化学-93f28ed20832,14,,1514196a7a0daefb786c4928ca08c305dfca6ffce01b8b15f0313f417dbfc240,,6851,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（新疆）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（河南）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（湖南）化学高考真题/2021年高考化学试卷（湖南）（空白卷）.pdf,temp-2021-化学-4aab111a2f2d,12,,32000aabef08e218b6290e1b6c05b5b0a4c71d33038135ec23b92702d448649f,,5852,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（湖南）化学高考真题/2022年高考化学试卷（湖南）（空白卷）.pdf,temp-2022-化学-54b937e8a6b8,13,,2435974c40e7fc774e7e60cb52cc1eb8b0b7deaa936d5e9e39b26900c7cfa43e,,5667,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（湖南）化学高考真题/2024年高考化学试卷（湖南）（空白卷）.pdf,temp-2024-化学-be37be64c2d5,11,8,551473868359b1cb847e94660a59163556d2ea1186a1ed5a81fcd5340511edf4,911772f6b02f7344eb282ad337cc5df655e7db5b699bb6c16544ab63db751d5a,5243,4730,0.697,content_or_page_difference,no,,
temp/版本2：化学（按省份分类）2008-2024/2008-2024·（甘肃）化学高考真题/2022年高考化学试卷（全国乙卷）（空白卷）.pdf,temp-2022-化学-65e8fcd1c28c,9,,f0097689bce0ad9073c6c047be7116d8a2ad0f909581176821ce3263703752eb,,4081,0,,text_unavailable_or_too_short,no,,Stream has ended unexpectedly
