sample_id,action,year,subject,region,paper_family,track,pages,source,sha256,existing_record_ids,selection_reason,review_result,review_notes
sample-001,ambiguous_scope,2024,化学,LN,地方卷,,10,temp/版本2：化学（按省份分类）2008-2024/2008-2024·（吉林）化学高考真题/2024年高考化学试卷（辽宁）（空白卷）.pdf,64c6b7a29f40689a4c6563338d5832c92a4b6e780fc1b86d61dc45db68852a99,temp-2024-化学-aac8ca4e620f,high_risk_full_review,pending,
sample-002,ambiguous_scope,2024,历史,LN,地方卷,,5,temp/版本2：历史（按省份分类）2008-2024/2008-2024·（吉林）历史高考真题/2024年高考历史试卷（辽宁）（空白卷）.pdf,0ac5fcd1d915d4d815a637c7a04bb1c53f21f4f5186bc9fe52e4895cc2691ba3,temp-2024-历史-3046f62edb85,high_risk_full_review,pending,
sample-003,ambiguous_scope,2024,地理,LN,地方卷,,7,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（吉林）地理高考真题/2024年高考地理试卷（辽宁）（空白卷）.pdf,489e94aea9a745387c8a5d5972fe4889340c809792d1e34688f2c4adf8c669af,temp-2024-地理-cadfc7115c4f,high_risk_full_review,pending,
sample-004,ambiguous_scope,2024,地理,GX,地方卷,,6,temp/版本2：地理（按省份分类）2008-2024/2008-2024·（江西）地理高考真题/2024年高考地理试卷（广西）（空白卷）.pdf,786d134c3423f45e31edc46a8a4a74ddd1c03382e3f0a305e7649c33ef5261d6,temp-2024-地理-c8e155bff6b1,high_risk_full_review,pending,
sample-005,ambiguous_scope,2024,政治,LN,地方卷,,8,temp/版本2：政治（按省份分类）2008-2024/2008-2024·（吉林）政治高考真题/2024年高考政治试卷（辽宁）（空白卷）.pdf,135163656649ab04db7682a6181aea87260813a42564d09c3782be1b9c34d2c8,temp-2024-政治-d225361190fe,high_risk_full_review,pending,
sample-006,ambiguous_scope,2024,物理,LN,地方卷,,5,temp/版本2：物理（按省份分类）2008-2024/2008-2024·（吉林）物理高考真题/2024年高考物理试卷（辽宁）（空白卷）.pdf,d9473367e9bd9051842233ff8e16ad3184da0cd491dd068b859782f7987d6235,temp-2024-物理-85388ff8cf28,high_risk_full_review,pending,
sample-007,ambiguous_scope,2024,生物,LN,地方卷,,11,temp/版本2：生物（按省份分类）2008-2024/2008-2024·（吉林）生物高考真题/2024年高考生物试卷（辽宁）（空白卷）.pdf,82d119e44c930e901c9090b0f7c3b082c33a1ac68b4581e2dacabdbd556f354f,temp-2024-生物-4cc5169272d9,high_risk_full_review,pending,
sample-008,ambiguous_scope,2008,英语,HI-NX,地方卷,,15,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（宁夏）英语高考真题/2008年高考英语试卷（宁夏、海南）（空白卷）.pdf,59d2b901ea5cd01b2fe976e4726f76eb67b9a92de832da5dcf2715a34e9a03c2,,high_risk_full_review,pending,
sample-009,ambiguous_scope,2008,英语,HI-NX,地方卷,,15,temp/版本2：英语（按省份分类）2008-2024/2008-2024·（海南）英语高考真题/2008年高考英语试卷（宁夏、海南）（空白卷）.pdf,75ee77fc2c1e52513679037d734911ea3030a8484f11f655c694058017c0fc98,,high_risk_full_review,pending,
sample-010,ambiguous_scope,2019,语文,ZJ,地方卷,,31,temp/版本2：语文（按省份分类）2008-2024/2012-2024·（江西）语文高考真题/2019年高考语文试卷（浙江）（空白卷）.pdf,728782c68fb3984ab68760d85c4e3f3c534ed2db4dd6d5fed9db6b3bf37ae437,,high_risk_full_review,pending,
